coordinate	size	average Intensity
==========	====	=================
(187,19)   	31	217.8
(58,31)   	34	212.1
(124,71)   	47	216.1
(245,71)   	32	197.8
(96,114)   	30	191.6
(244,135)   	33	199.6
(223,159)   	36	170.9
(523,162)   	37	209.9
(233,165)   	41	193.3
(416,164)   	37	193.0
(12,188)   	42	211.8
(279,198)   	75	193.7
(605,210)   	39	205.4
(440,248)   	36	197.6
(175,264)   	38	211.5
(304,264)   	34	203.7
(359,269)   	44	200.5
(48,296)   	39	205.5
(345,340)   	30	211.2
(130,363)   	37	215.7
(408,385)   	33	196.9
(524,422)   	37	202.3
(455,431)   	39	192.6
(123,436)   	32	210.4
(637,456)   	34	220.7
